case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,1731,10,2000,10,1.344471877699941e-9,3.9940630895229144e-12,2.07867714811499e-6,5.418038847901753e-12,398
bfwa62,147,6,116,6,3.994029456833656e-10,4.694946638205096e-11,4.697092672735566e-10,1.1033940026685163e-11,62
bfwa782,1765,11,2000,11,1.720990254911092e-9,1.3149063214577433e-11,1.3405693685333332e-6,9.255042121467204e-12,782
bwm200,653,9,726,9,1.689954939661438e-10,5.7751677386213064e-11,1.6690962053136974e-10,5.966037325523477e-13,200
bwm2000,2000,24,2000,23,0.1950868261673732,1.0548306003658543e-9,0.03492219382845412,7.967171005163042e-13,2000
cdde1,1028,13,1028,13,1.6209582552548293e-9,6.791947502958611e-12,1.6251804310717755e-9,3.889340070788941e-12,961
cdde2,306,5,306,5,1.6468082821958498e-9,5.192867191802107e-12,1.6468083459366743e-9,2.029531863627951e-12,961
cdde3,2000,12,2000,12,0.05210138294998544,7.810693802034667e-11,0.06458493219031879,5.3039567551620365e-11,961
cdde4,401,5,401,5,1.6383512755310208e-9,8.320444381510657e-12,1.6383504151355692e-9,3.0314520898782634e-12,961
cdde5,2000,10,2000,10,4.396695793391609,2.2930359562106904e-11,4.39669564910225,5.2985810135708687e-11,961
cdde6,2000,5,2000,5,15.165598178322705,3.525522218889846e-11,15.165598178322707,1.231099184080648e-11,961
ck104,211,8,192,8,1.4005943162644038e-9,2.000204643349986e-11,1.4086828294478724e-9,9.050091679587827e-12,104
ck400,2000,12,1645,11,1.9257201427439856,1.2867186164107571e-11,2.5808088906344088e-9,1.0451156270283823e-11,400
ck656,2000,13,2000,12,1.9309463337031951,6.065916239678009e-11,0.3155555961421565,1.3916146934585413e-11,656
dw1024,2000,7,2000,7,0.006759613553390698,4.5739730210964655e-12,0.04452357899083712,3.8916156166343624e-12,2048
dw256A,2000,8,2000,8,0.16332891082671086,2.8351540434895977e-10,0.8867473782831655,1.1318660428562537e-9,512
dw256B,11,4,11,4,1.6183597349797504e-9,2.714469455723063e-12,1.2404992465032734e-9,3.5088802136973912e-12,512
dw4096,2000,2000,2000,2000,12.226703128722146,5.361347026149079e9,8.90321706075769,5.9044023594888725e29,8192
lop163,2000,6,2000,6,0.9604464567555796,2.7731856114547927e-10,0.8362461203171996,5.472220786486168e-10,163
mhda416,2000,2000,2000,2000,2619.0716481733543,NaN,2152.4570519566087,NaN,416
